iter	RMSE
0	0.3776163762
1	0.3542121276
2	0.3315385134
3	0.3132288493
4	0.2955657073
5	0.279724996	66	0.265678277	7	0.2507233408	8	0.23958749	0.9	0.228621510	010	0.218390811	011	0.210161512	12	0.2028267513	13	0.1951835514	14	0.1882070715	15	0.1814256716	16	0.1755404417	0.1631025664
18	0.1583942934
19	0.1540845862
220	0.156579018222121	0.15379438222	0.149162334
23	0.1459904248
2424	0.1441062922525	0.1416499032626	0.1389697032727	0.1369674192828	0.134854649229	0.1330358029
30	0.1312640522
31	0.1294552952332	0.1278416906
33	0.1263790364
34	0.1249573802
35	0.1238204481
36	0.1226242584
37	0.1214658752
38	0.1201393099
39	0.1191787999
40	0.1181346758
41	0.1172232797
42	0.1162880309
43	0.1150987515
44	0.1140564726
45	0.1131807268
46	0.1122483625
47	0.1114893296
48	0.11070766
49	0.1099766223
50	0.1088162076
51	0.1084196716
52	0.1077003239
53	0.1073425232
54	0.1066749582
55	0.1059957581
56	0.1053205778
57	0.1045089305
58	0.1038650747
59	0.1033441848
60	0.1026935843
61	0.1023492192
62	0.1019535099
63	063	0.097733664	0.64	0.09730265	0.165	0.09678620039
66	0.09643987416
67	0.09592490977
68	0.09542888443
69	0.09482180603
70	0.09426560288
71	0.09396471094
72	0.09348839972
73	0.09299262115
74	0.09272219
75	0.09226954439
76	0.09159516118
77	0.09115958184
78	0.09053190231
79	0.09001582233
80	0.08946154025
81	0.08915449306
82	0.0886813868
83	0.08824018977
84	0.08786805303
85	0.0874185259
86	0.08718106428
87	0.08702687975
88	0.08679826635
89	0.08637120669
90	0.08605804665
91	0.08567015683
92	0.08527772268
93	0.08482522541
94	0.08425117964
95	0.08380583947
96	0.08369688698
97	0.08320506306
98	0.08275041482
99	0.08226051053
100	0.08196549467
101	0.08157494758
102	0.0810653729
103	0.08056395423
104	0.08048539613
105	0.0800002472
106	0.07955826722
107	0.07943059804
108	0.079073325109	0.08213705941
110	0.08185371026
111	0.08153747929
11112	0.0781201883113	0.08091758898
114	0.08047073157
115	0.08005143754
116	0.07963971444
117	0.07920668292
118	0.07885679759
119	0.07876395719
120	0.07853055381
121	0.078169160122122	0.074593319123123	0.074207497124	0.07852019796
125	0.07808082771
126	0.07757140182
12127	0.073127012712128	0.072729912812129	0.072367815513130	0.072084265113131	0.07172363699
132	0.07134152565
133	0.07085560469
134	0.07052509266
135	0.07021662369
136	0.0699730607
137	0.06963396903
138	0.06939393099
139	0.06902948085
140	0.06881971353
141	0.06846108686
142	0.06812716735
143	0.06780983436
144	0.06746839077
145	0.06715333327
146	0.06696557686
147	0.06670715165
148	0.06656234745
149	0.06626576579
150	0.06597262837
151	0.06572592833
152	0.06550475219
153	0.06532311752
154	0.06509090589
155	0.06469445553
156	0.0645279622
157	0.0642521001
158	0.06401856858
159	0.06382124079
160	0.06365304328
161	0.06355685739
162	0.06328571079
163	0.06311140339
164	0.0628733202
165	0.06266099318
166	0.06234638699
167	0.06202544284
168	0.06187213538
169	0.06166098542
170	0.06137423492
171	0.06106696434
172	0.06095097654
173	0.0607736779
174	0.06061898959
175	0.06029791787
176	0.06006117487
177	0.06000024904
178	0.05986552
179	0.05983170485
180	0.05956156843
181	0.05930947264
182	0.0592059604
183	0.05904611954
184	0.05885950966
185	0.05861436473
186	0.05838880252
187	0.05819915479
188	0.0579533031
189	0.05770841838
190	0.05753561543
191	0.05727970612
192	0.05712232921
193	0.05694670617
194	0.05675939285
195	0.05648379097
196	0.05630225995
197	0.05601831858
198	0.05574140718
199	0.05549131998
200	0.05531712267
201	0.05528506273
202	0.05506001782
203	0.05494046903
204	0.05473256958
205	0.0545390579
206	0.05427878289
207	0.05404235217
208	0.05399034475
209	0.05396872306
210	0.05380021862
211	0.05347990019
212	0.05329790762
213	0.05306034682
214	0.05280505912
215	0.05260810674
216	0.05239394042
217	0.05216673593
218	0.05191684904
219	0.05177661685
220	0.05163480467
221	0.05148112644
222	0.05124990421
223	0.05108660053
224	0.05080598781
225	0.05067964322
226	0.05049580641
227	0.05028262575
228	0.05002818911
229	0.04988445622
230	0.04971763436
231	0.04947953655
232	0.04925126992
233	0.04914944403
234	0.04911694822
235	0.0489942716
236	0.04874954783
237	0.04859401651
238	0.04849991917
239	0.04834680462
240	0.04813115882
241	0.04802724709
242	0.04789094974
243	0.04767984436
244	0.04758738914
245	0.04745572449
246	0.0474336102
247	0.04730607906
248	0.04703777101
249	0.04683856107
250	0.04672862624
251	0.04649489021
252	0.04626977259
253	0.04611444156
254	0.04591790917
255	0.04576547279
256	0.04563916305
257	0.04560667246
258	0.04532225287
259	0.0451667168
260	0.04501874256
261	0.04488045642
262	0.04477729179
263	0.04457205639
264	0.04438612854
265	0.04429240543
266	0.04413276918
267	0.04396199099
268	0.04375012443
269	0.04364680782
270	0.04351934159
271	0.04338213174
272	0.04326895769
273	0.04317964704
274	0.04301669755
275	0.04283095039
276	0.0427347176
277	0.04261230806
278	0.04248821224
279	0.0422826358
280	0.04220082715
281	0.04211477594
282	0.04199087711
283	0.04189472094
284	0.04176676254
285	0.04155798293
286	0.0415099649
287	0.04134833233
288	0.04127022178
289	0.04109146973
290	0.04087865089
291	0.04075658562
292	0.04067071754
293	0.04052713606
294	0.0405114626
295	0.04038747529
296	0.04025394806
297	0.04009870326
298	0.04003607133
299	0.03991961645
300	0.03979543316
301	0.03975796005
302	0.03962335526
303	0.03948437361
304	0.03940492973
305	0.03924337646
306	0.03919804733
307	0.03918158998
308	0.03909032031
309	0.03892681223
310	0.038808435
311	0.03868689244
312	0.03861620448
313	0.03845643902
314	0.03830454827
315	0.03821105826
316	0.03818427219
317	0.0379937006
318	0.03785468657
319	0.03775765178
320	0.03772365569
321	0.0375338115
322	0.03740009965
323	0.03722180629
324	0.03707772652
325	0.03697765668
326	0.03675573933
327	0.0366077862
328	0.03647101403
329	0.0363946922
330	0.0363249122
331	0.03629670839
332	0.03628692982
333	0.03614902094
334	0.0360829716
335	0.03592660781
336	0.03591624047
337	0.03578787346
338	0.03564353215
339	0.03551628918
340	0.0353677506
341	0.03524870747
342	0.03511442638
343	0.03494143181
344	0.03480566559
345	0.03470952898
346	0.0345681354
347	0.03446416708
348	0.03435120951
349	0.03426982532
350	0.03412187625
351	0.03399084501
352	0.03387673765
353	0.03380971987
354	0.03364959019
355	0.03357612443
356	0.03350303696
357	0.03337542751
358	0.03330402226
359	0.03318823604
360	0.03310080977
361	0.03297135197
362	0.03285939931
363	0.03280451607
364	0.03266356894
365	0.03255313274
366	0.03246048187
367	0.03240289884
368	0.03232488136
369	0.03228298969
370	0.03214796351
371	0.03209000212
372	0.03205838223
373	0.03195125229
374	0.03182716269
375	0.03168441493
376	0.03157888356
377	0.03146670112
378	0.03129902272
379	0.03117064049
380	0.03107867195
381	0.03100848409
382	0.03088861723
383	0.03081482007
384	0.03073132348
385	0.03061872217
386	0.03055392755
387	0.03043421357
388	0.03032542364
389	0.0302135243
390	0.0300965302
391	0.02999095345
392	0.02990214729
393	0.02975406352
394	0.02968751769
395	0.02957053356
396	0.02952931053
397	0.02947402262
398	0.02940337832
399	0.02929584467
400	0.02919309189
401	0.02913059376
402	0.02906806101
403	0.02896992771
404	0.02887678835
405	0.02885697869
406	0.02884755889
407	0.02879801127
408	0.02872736283
409	0.02862825949
410	0.02853091084
411	0.02849000283
412	0.02846106374
413	0.02845422653
414	0.02832916065
415	0.02819732565
416	0.02815593355
417	0.02806539499
418	0.0280144402
419	0.02793920928
420	0.02785270596
421	0.0277583763
422	0.0276563423	0423	0.0275794424	424	0.02749615425	425	0.02738182426	0.03035677087
427	0.03031864733
428	0.03022251912
429	0.03021781482
430	0.03016402314
431	0.0300976859
432	0.03000944278
433	0.02998042128
434	0.02992814899
435	0.02987896175
436	0.02981140827
437	0.02969666126
438	0.02957827387
439	0.02953413017
440	0.02942437523
441	0.02942089342
442	0.02935028175
443	0.02925875648
444	0.02913946326
445	0.02913418414
446	0.02901682184
447	0.02892154882
448	0.02879442797
449	0.02873138282
450	0.02865619171
451	0.02858140556
452	0.02845913746
453	0.02845072061
454	0.0283139368
455	0.0282437235
456	0.02819252655
457	0.0281017536
458	0.0279907167
459	0.0278776918
460	0.02782270583
461	0.02779693212
462	0.0277071742
463	0.02770323549
464	0.0276494442
465	0.0275643405
466	0.02748520287
467	0.02740582142
468	0.02733271272
469	0.02727313705
470	0.02726853367
471	0.02717769448
472	0.02713461865
473	0.02706151872
474	0.02697008546
475	0.02688450803
476	0.02681814243
477	0.02673593741
478	0.02667967205
479	0.02659151725
480	0.02649829193
481	0.02642839381
482	0.02642451348
483	0.02636669172
484	0.02629751536
485	0.02622140276
486	0.02613139908
487	0.02603089794
488	0.02594354792
489	0.025915844
490	0.02581866649
491	0.02573388466
492	0.02565971887
493	0.025618379
494	0.02554279659
495	0.02552156263
496	0.02544016004
497	0.02537710822
498	0.02529498039
499	0.02523743888
68001473
0641047
